time,quote_volume,base_volume,close,high,low,open,symbol,tradecount
2021-05-06 02:00:00,88860089.418956,52341041.8,1.7138,1.717,1.68,1.7028,XRP/USDT,84206
2021-05-06 01:00:00,218706996.273486,126421534.93,1.7029,1.7658,1.691,1.7207,XRP/USDT,179695
2021-05-06 00:00:00,370305557.97939694,219843200.72,1.7205,1.7389,1.6131,1.6137,XRP/USDT,295097
2021-05-05 23:00:00,97081016.342154,60472639.56,1.6133,1.624,1.5779,1.6016,XRP/USDT,109491
2021-05-05 22:00:00,71327153.748468,44767568.24,1.6017,1.61,1.5677,1.5677,XRP/USDT,74969
2021-05-05 21:00:00,42884787.69055,27381681.43,1.5681,1.579,1.5512,1.568,XRP/USDT,36050
2021-05-05 20:00:00,60352140.678917,38404341.71,1.568,1.5932,1.555,1.5929,XRP/USDT,55580
2021-05-05 19:00:00,98840353.723167,62182131.23,1.5929,1.6138,1.5613,1.5712,XRP/USDT,95588
2021-05-05 18:00:00,49490607.390372,31728652.78,1.5713,1.5733,1.5468,1.5484,XRP/USDT,41916
2021-05-05 17:00:00,53035139.890807,33950138.05,1.548,1.575,1.5436,1.5636,XRP/USDT,50023
2021-05-05 16:00:00,113097687.991387,72169079.94,1.5636,1.589,1.5388,1.5389,XRP/USDT,96367
2021-05-05 15:00:00,83384480.514666,53906678.93,1.5388,1.5746,1.5125,1.5663,XRP/USDT,75820
2021-05-05 14:00:00,91192938.065624,58535580.64,1.5662,1.5791,1.54,1.5741,XRP/USDT,78182
2021-05-05 13:00:00,131941004.548898,83446656.53,1.574,1.606,1.5517,1.5705,XRP/USDT,116620
2021-05-05 12:00:00,204460152.919354,130330877.38,1.5705,1.596,1.5322,1.5629,XRP/USDT,165978
2021-05-05 11:00:00,180374285.291426,118153114.46,1.5633,1.5766,1.4598,1.4785,XRP/USDT,147302
2021-05-05 10:00:00,64986825.733475,44367852.88,1.4784,1.488,1.4421,1.4543,XRP/USDT,60700
2021-05-05 09:00:00,45289290.155571,31238102.92,1.4541,1.4643,1.4367,1.4623,XRP/USDT,40355
2021-05-05 08:00:00,57028064.91306,39286722.14,1.4622,1.464,1.4395,1.4518,XRP/USDT,51321
2021-05-05 07:00:00,59121917.497081,41181429.68,1.4521,1.46,1.4134,1.4194,XRP/USDT,46824
2021-05-05 06:00:00,50592712.95986,35623620.85,1.4193,1.4387,1.408,1.4371,XRP/USDT,39092
2021-05-05 05:00:00,48634898.984348,34192880.58,1.4369,1.4401,1.399,1.4076,XRP/USDT,42091
2021-05-05 04:00:00,57715150.964109,40638744.22,1.4078,1.4408,1.4011,1.4303,XRP/USDT,47190
2021-05-05 03:00:00,44314522.83181,30853012.6,1.4303,1.4518,1.42,1.4477,XRP/USDT,39628
2021-05-05 02:00:00,47131257.329919,32337122.12,1.4476,1.4715,1.4438,1.453,XRP/USDT,39779
2021-05-05 01:00:00,67265868.239059,46266028.61,1.453,1.4739,1.4336,1.4628,XRP/USDT,56375
2021-05-05 00:00:00,100422822.760694,70226637.48,1.4624,1.4763,1.366,1.3878,XRP/USDT,93717
2021-05-04 23:00:00,59722630.850877,42527513.26,1.3877,1.4285,1.3729,1.4258,XRP/USDT,53470
2021-05-04 22:00:00,61261016.666496,43370383.2,1.426,1.4466,1.3888,1.4436,XRP/USDT,57860
2021-05-04 21:00:00,104742779.414025,72130115.94,1.4437,1.477,1.4173,1.4174,XRP/USDT,86305
2021-05-04 20:00:00,54289928.968688,38518474.82,1.4174,1.421,1.3889,1.4115,XRP/USDT,45715
2021-05-04 19:00:00,39608285.722337,28087702.95,1.4114,1.4186,1.4027,1.4152,XRP/USDT,36361
2021-05-04 18:00:00,61661161.297668,43857519.99,1.4151,1.42,1.3893,1.3942,XRP/USDT,56603
2021-05-04 17:00:00,77565013.361034,56102987.03,1.3943,1.3968,1.3629,1.3662,XRP/USDT,71556
2021-05-04 16:00:00,165233204.316807,121593684.64,1.3662,1.3878,1.32,1.3676,XRP/USDT,135067
2021-05-04 15:00:00,186383923.475433,135240315.07,1.3681,1.4115,1.3404,1.4007,XRP/USDT,160787
2021-05-04 14:00:00,151607496.580603,107109595.78,1.4007,1.458,1.37,1.4522,XRP/USDT,137182
2021-05-04 13:00:00,71731217.310765,49186750.4,1.4522,1.477,1.436,1.4534,XRP/USDT,61908
2021-05-04 12:00:00,83817487.885165,57694685.78,1.4537,1.4699,1.4388,1.4691,XRP/USDT,70244
2021-05-04 11:00:00,50288335.741745,34120532.76,1.4691,1.489,1.462,1.4883,XRP/USDT,43209
2021-05-04 10:00:00,47323003.39247,31905907.44,1.4884,1.4949,1.4641,1.4659,XRP/USDT,42622
2021-05-04 09:00:00,58451213.424547,39799428.98,1.4659,1.4831,1.4472,1.4472,XRP/USDT,53411
2021-05-04 08:00:00,91692721.366416,63411266.32,1.4472,1.4645,1.4274,1.4552,XRP/USDT,75293
2021-05-04 07:00:00,65330372.466559,44306749.61,1.4551,1.4947,1.4503,1.4887,XRP/USDT,49093
2021-05-04 06:00:00,36486355.777436,24494982.23,1.4887,1.498,1.4815,1.4854,XRP/USDT,33443
2021-05-04 05:00:00,45703529.826514,30728707.37,1.4855,1.4992,1.4764,1.4818,XRP/USDT,42466
2021-05-04 04:00:00,45842312.734102,31292493.66,1.4818,1.488,1.4337,1.4461,XRP/USDT,42067
2021-05-04 03:00:00,53096723.12444,36519589.16,1.4464,1.47,1.4305,1.4575,XRP/USDT,45153
2021-05-04 02:00:00,70369383.948003,48095283.73,1.4575,1.483,1.4471,1.4706,XRP/USDT,54294
2021-05-04 01:00:00,111462042.846348,76244875.01,1.4707,1.482,1.4217,1.4395,XRP/USDT,96636
2021-05-04 00:00:00,175826900.996649,118883763.59,1.4393,1.558,1.3969,1.5546,XRP/USDT,162562
2021-05-03 23:00:00,29479282.934866,18901190.58,1.5546,1.5688,1.5505,1.5688,XRP/USDT,25791
2021-05-03 22:00:00,37842727.818851,24361068.43,1.5688,1.5722,1.54,1.5535,XRP/USDT,32981
2021-05-03 21:00:00,41065947.148035,26580443.26,1.5536,1.5558,1.5376,1.548,XRP/USDT,35281
2021-05-03 20:00:00,39286058.124351,25339549.68,1.5477,1.5691,1.531,1.5691,XRP/USDT,39229
2021-05-03 19:00:00,32820903.020353,21018365.78,1.5691,1.57,1.55,1.565,XRP/USDT,32487
2021-05-03 18:00:00,35337660.245307,22443699.0,1.5649,1.5845,1.5649,1.5828,XRP/USDT,34828
2021-05-03 17:00:00,53850761.155541,34156854.97,1.5827,1.5899,1.5603,1.5636,XRP/USDT,47021
2021-05-03 16:00:00,59914397.635255,38697696.5,1.5636,1.5677,1.5269,1.5536,XRP/USDT,56550
2021-05-03 15:00:00,46282493.498434,29647190.4,1.5537,1.5731,1.5497,1.5588,XRP/USDT,39946
2021-05-03 14:00:00,75343587.802486,48464433.72,1.5591,1.5715,1.535,1.5407,XRP/USDT,72723
2021-05-03 13:00:00,111824352.104101,72262888.54,1.5406,1.5931,1.47,1.5927,XRP/USDT,121102
2021-05-03 12:00:00,34475013.603837,21684756.17,1.5927,1.5964,1.5825,1.5916,XRP/USDT,30485
2021-05-03 11:00:00,35982756.214791,22579573.26,1.5914,1.601,1.585,1.5858,XRP/USDT,31051
2021-05-03 10:00:00,27181255.83495,17108246.22,1.5857,1.5946,1.5821,1.5885,XRP/USDT,26078
2021-05-03 09:00:00,54283338.859616,34102420.71,1.5885,1.6062,1.58,1.6039,XRP/USDT,45116
2021-05-03 08:00:00,36669664.38142,22801451.94,1.6038,1.6153,1.6023,1.6129,XRP/USDT,33886
2021-05-03 07:00:00,40822899.267927,25365452.94,1.613,1.619,1.5987,1.604,XRP/USDT,33162
2021-05-03 06:00:00,33051204.048445,20562482.03,1.604,1.6151,1.6008,1.6089,XRP/USDT,26445
2021-05-03 05:00:00,42170628.302456,26146623.01,1.6091,1.6216,1.6011,1.6067,XRP/USDT,34322
2021-05-03 04:00:00,49992870.055659,31173097.84,1.6067,1.62,1.5792,1.5832,XRP/USDT,50856
2021-05-03 03:00:00,27926564.171568,17647714.32,1.5832,1.59,1.5767,1.589,XRP/USDT,23214
2021-05-03 02:00:00,32602896.388339,20499447.29,1.5887,1.599,1.584,1.5973,XRP/USDT,24539
2021-05-03 01:00:00,39738792.461327,25114682.18,1.5972,1.5972,1.5692,1.5793,XRP/USDT,35219
2021-05-03 00:00:00,38274015.547406,24328782.91,1.5793,1.5865,1.5519,1.5605,XRP/USDT,35023
2021-05-02 23:00:00,25778238.568006,16566954.49,1.5605,1.564,1.5488,1.555,XRP/USDT,24082
2021-05-02 22:00:00,53697252.32023,34400039.82,1.555,1.58,1.55,1.5731,XRP/USDT,43161
2021-05-02 21:00:00,31116574.040182,19631022.04,1.5732,1.5982,1.5701,1.5955,XRP/USDT,25994
2021-05-02 20:00:00,28794962.640854,18110612.73,1.5956,1.5992,1.5826,1.5877,XRP/USDT,26608
2021-05-02 19:00:00,21886697.746965,13842518.5,1.5877,1.588,1.5752,1.5853,XRP/USDT,22339
2021-05-02 18:00:00,25002188.839013,15814290.73,1.5854,1.5906,1.5739,1.5761,XRP/USDT,25990
2021-05-02 17:00:00,23787357.979301,15132486.99,1.576,1.5792,1.5646,1.5677,XRP/USDT,21838
2021-05-02 16:00:00,28291083.03574,17987919.43,1.5677,1.5821,1.5658,1.5721,XRP/USDT,28691
2021-05-02 15:00:00,30215626.293139,19265319.24,1.5721,1.5769,1.5614,1.5704,XRP/USDT,29121
2021-05-02 14:00:00,25223745.06632,16025529.19,1.5704,1.5811,1.567,1.5726,XRP/USDT,24516
2021-05-02 13:00:00,37444312.51548,23700011.9,1.5726,1.6,1.567,1.5905,XRP/USDT,33635
2021-05-02 12:00:00,33036748.709831,20927591.16,1.5906,1.5911,1.5674,1.5778,XRP/USDT,31193
2021-05-02 11:00:00,30668382.982723,19506614.49,1.5778,1.5836,1.5585,1.578,XRP/USDT,28452
2021-05-02 10:00:00,34942890.397832,22225369.61,1.5779,1.5806,1.56,1.5641,XRP/USDT,32485
2021-05-02 09:00:00,41828106.078677,26904413.79,1.5641,1.5655,1.54,1.5588,XRP/USDT,38211
2021-05-02 08:00:00,42636477.836723,27447152.32,1.5584,1.5712,1.541,1.5639,XRP/USDT,39462
2021-05-02 07:00:00,51975049.983297,33229497.83,1.5639,1.5869,1.5481,1.5787,XRP/USDT,42395
2021-05-02 06:00:00,29407997.482229,18573961.68,1.5786,1.5937,1.57,1.5778,XRP/USDT,28246
2021-05-02 05:00:00,38982137.066317,24641840.41,1.5777,1.5941,1.5662,1.5812,XRP/USDT,35257
2021-05-02 04:00:00,86307909.139928,55240153.1,1.5816,1.5889,1.525,1.5539,XRP/USDT,72632
